GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1610752390.40,37,5670782,-122,-4706173
1610752450.80,37,5670713,-122,-4706167
1610752511.20,37,5670657,-122,-4706137
1610752571.60,37,5670631,-122,-4706129
1610752632.00,37,5670612,-122,-4706183
1610752692.40,37,5670532,-122,-4706166
1610752752.80,37,5670486,-122,-4706237
1610752813.20,37,5670504,-122,-4706112
1610752873.60,37,5670415,-122,-4706118
1610752934.00,37,5670420,-122,-4706050
1610752994.40,37,5670402,-122,-4706002
1610753054.80,37,5670435,-122,-4705985
1610753115.20,37,5670417,-122,-4705914
1610753175.60,37,5670419,-122,-4705888
1610753236.00,37,5670426,-122,-4705927
1610753296.40,37,5670434,-122,-4705973
1610753356.80,37,5670463,-122,-4706004
1610753417.20,37,5670424,-122,-4705875
1610753477.60,37,5670424,-122,-4705851
1610753538.00,37,5670410,-122,-4705881
1610753598.40,37,5670364,-122,-4705985
1610753658.80,37,5670400,-122,-4706174
1610753719.20,37,5670425,-122,-4706125
1610753779.60,37,5670382,-122,-4706048
1610753840.00,37,5670437,-122,-4706100
1610753900.40,37,5670438,-122,-4706095
1610753960.80,37,5670440,-122,-4706052
1610754021.20,37,5670461,-122,-4706116
1610754081.60,37,5670507,-122,-4706158
1610754142.00,37,5670483,-122,-4706246
1610754202.40,37,5670482,-122,-4706185
1610754262.80,37,5670470,-122,-4706167
1610754323.20,37,5670464,-122,-4706129
1610754383.60,37,5670433,-122,-4706154
1610754444.00,37,5670423,-122,-4706077
1610754504.40,37,5670402,-122,-4706129
1610754564.80,37,5670450,-122,-4706165
1610754625.20,37,5670485,-122,-4706260
1610754685.60,37,5670479,-122,-4706234
1610754746.00,37,5670518,-122,-4706259
1610754806.40,37,5670567,-122,-4706250
1610754866.80,37,5670649,-122,-4706229
1610754927.20,37,5670673,-122,-4706268
1610754987.60,37,5670604,-122,-4706359
1610755048.00,37,5670622,-122,-4706355
1610755108.40,37,5670556,-122,-4706392
1610755168.80,37,5670577,-122,-4706489
1610755229.20,37,5670566,-122,-4706496
1610755289.60,37,5670546,-122,-4706405
1610755350.00,37,5670478,-122,-4706416
1610755410.40,37,5670486,-122,-4706419
1610755470.80,37,5670431,-122,-4706298
1610755531.20,37,5670400,-122,-4706229
1610755591.60,37,5670440,-122,-4706278
1610755652.00,37,5670419,-122,-4706317
1610755712.40,37,5670405,-122,-4706202
1610755772.80,37,5670410,-122,-4706291
1610755833.20,37,5670365,-122,-4706272
1610755893.20,37,5670333,-122,-4706225
1610755953.60,37,5670359,-122,-4706312
1610756014.00,37,5670445,-122,-4706332
1610756074.40,37,5670436,-122,-4706399
1610756134.80,37,5670399,-122,-4706385
1610756195.20,37,5670434,-122,-4706389
1610756255.60,37,5670406,-122,-4706224
1610756316.00,37,5670370,-122,-4706325
1610756376.40,37,5670444,-122,-4706212
1610756436.80,37,5670384,-122,-4706152
1610756497.20,37,5670379,-122,-4706165
1610756557.60,37,5670342,-122,-4706107
1610756617.60,37,5670455,-122,-4706039
1610756678.40,37,5670335,-122,-4706085
1610756738.80,37,5670405,-122,-4706096
1610756799.20,37,5670372,-122,-4705972
1610756859.60,37,5670381,-122,-4706078
1610756920.00,37,5670412,-122,-4706131
1610756980.40,37,5670337,-122,-4706228
1610757040.80,37,5670404,-122,-4706178
1610757101.20,37,5670379,-122,-4706067
1610757161.60,37,5670366,-122,-4706000
1610757222.00,37,5670354,-122,-4706081
1610757282.40,37,5670297,-122,-4706216
1610757342.80,37,5670315,-122,-4706198
1610757403.20,37,5670301,-122,-4706145
1610757463.60,37,5670307,-122,-4706117
1610757524.00,37,5670262,-122,-4706137
1610757584.40,37,5670249,-122,-4706167
1610757644.80,37,5670308,-122,-4706207
1610757705.20,37,5670277,-122,-4706157
1610757765.60,37,5670234,-122,-4706005
1610757826.00,37,5670224,-122,-4706089
1610757886.40,37,5670206,-122,-4706016
1610757946.80,37,5670242,-122,-4705935
1610758007.20,37,5670219,-122,-4706015
1610758067.60,37,5670220,-122,-4706042
1610758128.00,37,5670231,-122,-4706062
1610758188.40,37,5670199,-122,-4705959
1610758248.80,37,5670156,-122,-4705991
1610758309.20,37,5670176,-122,-4705752
1610758369.60,37,5670095,-122,-4705766
1610758430.00,37,5670057,-122,-4705750
1610758490.40,37,5670040,-122,-4705636
1610758550.80,37,5670012,-122,-4705756
1610758611.20,37,5669998,-122,-4705792
1610758671.60,37,5669997,-122,-4705771
1610758732.00,37,5670047,-122,-4705662
1610758792.40,37,5670046,-122,-4705622
1610758852.80,37,5670046,-122,-4705691
1610758913.20,37,5670030,-122,-4705732
1610758973.60,37,5670063,-122,-4705683
1610759034.00,37,5670069,-122,-4705739
1610759094.40,37,5670065,-122,-4705558
1610759154.80,37,5670003,-122,-4705496
1610759215.20,37,5670023,-122,-4705467
1610759275.60,37,5670024,-122,-4705399
1610759336.00,37,5670028,-122,-4705364
1610759396.40,37,5669983,-122,-4705327
1610759456.80,37,5670088,-122,-4705249
1610759517.20,37,5670070,-122,-4705039
1610759577.60,37,5670023,-122,-4705085
1610759638.00,37,5670066,-122,-4705274
1610759698.00,37,5670099,-122,-4705210
1610759758.40,37,5670142,-122,-4705383
1610759818.80,37,5670081,-122,-4705371
1610759879.20,37,5670113,-122,-4705306
1610759939.60,37,5670064,-122,-4705272
